TLD,original word,word with vowels removed
bg,garbage,grbg
bm,album,lbm
br,chamber,chmbr
br,fiber,fbr
br,labor,lbr
br,member,mmbr
br,neighbor,nghbr
br,number,nmbr
br,rubber,rbbr
br,remember,rmmbr
br,timber,tmbr
bs,database,dtbs
bt,combat,cmbt
bt,contribute,cntrbt
bt,debate,dbt
bt,debt,dbt
bt,doubt,dbt
bt,doubt,dbt
bt,debate,dbt
bt,debut,dbt
bt,distribute,dstrbt
bt,habit,hbt
bt,prohibit,prhbt
bt,rabbit,rbbt
bt,orbit,rbt
bt,robot,rbt
bt,attribute,ttrbt
bt,exhibit,xhbt
bt,exhibit,xhbt
bw,elbow,lbw
by,baby,bby
by,lobby,lbby
by,nearby,nrby
by,nearby,nrby
by,thereby,thrby
cc,tobacco,tbcc
cd,balanced,blncd
cd,concede,cncd
cd,convinced,cnvncd
cd,decide,dcd
cd,decade,dcd
cd,advanced,dvncd
cd,proceed,prcd
cd,succeed,sccd
cd,suicide,scd
cd,exceed,xcd
cd,experienced,xprncd
ch,Dutch,Dtch
ch,French,Frnch
ch,French,Frnch
ch,beach,bch
ch,bunch,bnch
ch,bench,bnch
ch,branch,brnch
ch,coach,cch
ch,coach,cch
ch,couch,cch
ch,church,chrch
ch,catch,ctch
ch,catch,ctch
ch,headache,hdch
ch,lunch,lnch
ch,launch,lnch
ch,launch,lnch
ch,much,mch
ch,much,mch
ch,march,mrch
ch,match,mtch
ch,match,mtch
ch,punch,pnch
ch,approach,pprch
ch,approach,pprch
ch,porch,prch
ch,preach,prch
ch,pitch,ptch
ch,patch,ptch
ch,pitch,ptch
ch,reach,rch
ch,rich,rch
ch,reach,rch
ch,ranch,rnch
ch,research,rsrch
ch,research,rsrch
ch,such,sch
ch,such,sch
ch,scratch,scrtch
ch,sandwich,sndwch
ch,speech,spch
ch,search,srch
ch,search,srch
ch,stomach,stmch
ch,stretch,strtch
ch,stretch,strtch
ch,switch,swtch
ch,switch,swtch
ch,teach,tch
ch,touch,tch
ch,touch,tch
ch,attach,ttch
ch,which,whch
ch,watch,wtch
ch,watch,wtch
cl,bicycle,bcycl
cl,biological,blgcl
cl,obstacle,bstcl
cl,chemical,chmcl
cl,chemical,chmcl
cl,ecological,clgcl
cl,clinical,clncl
cl,classical,clsscl
cl,commercial,cmmrcl
cl,council,cncl
cl,cancel,cncl
cl,circle,crcl
cl,crucial,crcl
cl,circle,crcl
cl,critical,crtcl
cl,cycle,cycl
cl,ideological,dlgcl
cl,identical,dntcl
cl,official,ffcl
cl,official,ffcl
cl,financial,fnncl
cl,fiscal,fscl
cl,historical,hstrcl
cl,judicial,jdcl
cl,local,lcl
cl,electrical,lctrcl
cl,logical,lgcl
cl,mechanical,mchncl
cl,medical,mdcl
cl,molecule,mlcl
cl,miracle,mrcl
cl,muscle,mscl
cl,musical,mscl
cl,uncle,ncl
cl,philosophical,phlsphcl
cl,physical,physcl
cl,political,pltcl
cl,pencil,pncl
cl,practical,prctcl
cl,particle,prtcl
cl,protocol,prtcl
cl,psychological,psychlgcl
cl,racial,rcl
cl,radical,rdcl
cl,article,rtcl
cl,artificial,rtfcl
cl,social,scl
cl,scale,scl
cl,special,spcl
cl,statistical,sttstcl
cl,technical,tchncl
cl,technological,tchnlgcl
cl,ethical,thcl
cl,theological,thlgcl
cl,theoretical,thrtcl
cl,tropical,trpcl
cl,typical,typcl
cl,vocal,vcl
cl,vehicle,vhcl
cl,vertical,vrtcl
cm,become,bcm
cm,income,ncm
cm,outcome,tcm
cm,vacuum,vcm
cm,overcome,vrcm
cm,welcome,wlcm
cm,welcome,wlcm
cn,Mexican,Mxcn
cn,Republican,Rpblcn
cn,cocaine,ccn
cn,African,frcn
cn,hurricane,hrrcn
cn,medicine,mdcn
cn,American,mrcn
cn,American,mrcn
cn,musician,mscn
cn,physician,physcn
cn,politician,pltcn
cn,republican,rpblcn
cn,scene,scn
cn,scan,scn
cn,suspicion,sspcn
cn,technician,tchncn
cn,vaccine,vccn
cr,occur,ccr
cr,cancer,cncr
cr,dancer,dncr
cr,officer,ffcr
cr,producer,prdcr
cr,soccer,sccr
cr,score,scr
cr,score,scr
cr,secure,scr
cr,scare,scr
cr,secure,scr
crs,decrease,dcrs
crs,discourse,dscrs
crs,increase,ncrs
crs,increase,ncrs
cv,conceive,cncv
cv,perceive,prcv
cv,receive,rcv
cz,criticize,crtcz
dm,freedom,frdm
dm,kingdom,kngdm
dm,medium,mdm
dm,medium,mdm
dm,random,rndm
dm,sodium,sdm
dm,seldom,sldm
dm,stadium,stdm
dm,wisdom,wsdm
fly,briefly,brfly
fly,butterfly,bttrfly
fly,safely,sfly
fr,before,bfr
fr,before,bfr
fr,before,bfr
fr,differ,dffr
fr,offer,ffr
fr,affair,ffr
fr,offer,ffr
fr,unfair,nfr
fr,interfere,ntrfr
fr,prefer,prfr
fr,refer,rfr
fr,suffer,sffr
fr,therefore,thrfr
fr,transfer,trnsfr
fr,transfer,trnsfr
fr,welfare,wlfr
gd,alleged,llgd
gg,language,lngg
gg,mortgage,mrtgg
gg,engage,ngg
gh,dough,dgh
gh,high,hgh
gh,high,hgh
gh,laugh,lgh
gh,laugh,lgh
gh,although,lthgh
gh,enough,ngh
gh,enough,ngh
gh,rough,rgh
gh,sigh,sgh
gh,tough,tgh
gh,though,thgh
gh,though,thgh
gh,thigh,thgh
gh,through,thrgh
gh,through,thrgh
gh,weigh,wgh
gl,fragile,frgl
gl,jungle,jngl
gl,legal,lgl
gl,illegal,llgl
gl,angle,ngl
gl,angel,ngl
gl,single,sngl
gl,struggle,strggl
gl,struggle,strggl
gm,regime,rgm
gn,begin,bgn
gn,campaign,cmpgn
gn,design,dsgn
gn,design,dsgn
gn,foreign,frgn
gn,imagine,mgn
gn,margin,mrgn
gn,engine,ngn
gn,region,rgn
gn,origin,rgn
gn,organ,rgn
gn,regain,rgn
gn,religion,rlgn
gn,resign,rsgn
gn,sign,sgn
gn,sign,sgn
gn,surgeon,srgn
gn,assign,ssgn
gn,wagon,wgn
gn,oxygen,xygn
gr,degree,dgr
gr,danger,dngr
gr,disagree,dsgr
gr,figure,fgr
gr,figure,fgr
gr,finger,fngr
gr,hunger,hngr
gr,manager,mngr
gr,anger,ngr
gr,passenger,pssngr
gr,sugar,sgr
gr,singer,sngr
gr,stranger,strngr
gr,teenager,tngr
gr,trigger,trggr
gs,religious,rlgs
gs,earnings,rnngs
gt,budget,bdgt
gt,forget,frgt
gt,investigate,nvstgt
gt,target,trgt
gt,target,trgt
gy,biology,blgy
gy,ideology,dlgy
gy,energy,nrgy
gy,apology,plgy
gy,psychology,psychlgy
gy,strategy,strtgy
gy,technology,tchnlgy
gy,theology,thlgy
hk,cheek,chk
hk,shake,shk
hm,rhythm,rhythm
hm,scheme,schm
hm,shame,shm
hm,them,thm
hm,theme,thm
hm,whom,whm
hn,chain,chn
hn,chin,chn
hn,fashion,fshn
hn,kitchen,ktchn
hn,machine,mchn
hn,phone,phn
hn,shine,shn
hn,strengthen,strngthn
hn,than,thn
hn,then,thn
hn,than,thn
hn,thin,thn
hn,telephone,tlphn
hn,when,whn
hn,when,whn
hn,within,wthn
hn,within,wthn
hr,brother,brthr
hr,bother,bthr
hr,chair,chr
hr,cheer,chr
hr,father,fthr
hr,feather,fthr
hr,grandfather,grndfthr
hr,grandmother,grndmthr
hr,gather,gthr
hr,elsewhere,lswhr
hr,altogether,ltgthr
hr,leather,lthr
hr,mother,mthr
hr,metaphor,mtphr
hr,another,nthr
hr,neither,nthr
hr,another,nthr
hr,neither,nthr
hr,nowhere,nwhr
hr,anywhere,nywhr
hr,publisher,pblshr
hr,photographer,phtgrphr
hr,pitcher,ptchr
hr,researcher,rsrchr
hr,rather,rthr
hr,rather,rthr
hr,rather,rthr
hr,share,shr
hr,share,shr
hr,shore,shr
hr,sheer,shr
hr,somewhere,smwhr
hr,sphere,sphr
hr,teacher,tchr
hr,together,tgthr
hr,their,thr
hr,there,thr
hr,other,thr
hr,there,thr
hr,three,thr
hr,either,thr
hr,author,thr
hr,other,thr
hr,either,thr
hr,other,thr
hr,atmosphere,tmsphr
hr,everywhere,vrywhr
hr,wheelchair,whlchr
hr,where,whr
hr,where,whr
hr,whether,whthr
hr,weather,wthr
ht,bright,brght
ht,cheat,cht
ht,delight,dlght
ht,fight,fght
ht,fight,fght
ht,flight,flght
ht,eight,ght
ht,ought,ght
ht,highlight,hghlght
ht,height,hght
ht,light,lght
ht,light,lght
ht,light,lght
ht,light,lght
ht,midnight,mdnght
ht,might,mght
ht,night,nght
ht,insight,nsght
ht,photo,pht
ht,right,rght
ht,right,rght
ht,right,rght
ht,sight,sght
ht,shoot,sht
ht,shot,sht
ht,shut,sht
ht,sheet,sht
ht,shout,sht
ht,shit,sht
ht,slight,slght
ht,somewhat,smwht
ht,sunlight,snlght
ht,straight,strght
ht,straight,strght
ht,tight,tght
ht,tight,tght
ht,thought,thght
ht,throughout,thrght
ht,that,tht
ht,that,tht
ht,that,tht
ht,tonight,tnght
ht,overnight,vrnght
ht,weight,wght
ht,what,wht
ht,white,wht
ht,white,wht
ht,wheat,wht
ht,without,wtht
kg,package,pckg
kn,broken,brkn
kn,chicken,chckn
kn,skin,skn
kn,weaken,wkn
kp,makeup,mkp
kp,pickup,pckp
kp,skip,skp
kr,banker,bnkr
kr,broker,brkr
kr,lawmaker,lwmkr
kr,maker,mkr
kr,marker,mrkr
kr,speaker,spkr
kr,worker,wrkr
ky,hockey,hcky
ky,lucky,lcky
ky,monkey,mnky
ky,risky,rsky
ky,sky,sky
ky,turkey,trky
lb,bulb,blb
lb,club,clb
lb,globe,glb
lc,Catholic,Cthlc
lc,Catholic,Cthlc
lc,garlic,grlc
lc,marketplace,mrktplc
lc,public,pblc
